,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
5099,1607950820509:b1ba8cc9-f9a5-4727-bf68-4521a9bb527c,1607950820509:5ceae279-58b2-4dc3-9d9d-3a2d729ed24b,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5101,1607950820509:b1ba8cc9-f9a5-4727-bf68-4521a9bb527c,1607950820509:42dcb8f6-87c2-48ad-a9fb-984a78ab59d3,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5102,1607950820509:b1ba8cc9-f9a5-4727-bf68-4521a9bb527c,1607950820509:42dcb8f6-87c2-48ad-a9fb-984a78ab59d3,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5103,1607950820509:b1ba8cc9-f9a5-4727-bf68-4521a9bb527c,1607950820509:42dcb8f6-87c2-48ad-a9fb-984a78ab59d3,0,True,EmptyObject,FALSE,FALSE,TRUE,1,True,class java.lang.String,TRUE,FALSE,FALSE,clear,No
5105,1607950820509:b1ba8cc9-f9a5-4727-bf68-4521a9bb527c,1607950820509:0416ba1e-3832-4270-bc65-20d5842355ea,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5107,1607950820509:b10bf9b0-0673-4915-9b9c-b7ba2bf69b2b,1607950820509:4fab444b-dc14-428f-ba61-16e1532539c7,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5108,1607950820509:b10bf9b0-0673-4915-9b9c-b7ba2bf69b2b,1607950820509:4fab444b-dc14-428f-ba61-16e1532539c7,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5110,1607950820509:81c71ad1-5e27-4bf3-9cf8-9cbf32e4c39b,1607950820509:ac50ac64-6111-4bb2-ae5b-5058cd7a37f3,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5111,1607950820509:81c71ad1-5e27-4bf3-9cf8-9cbf32e4c39b,1607950820509:ac50ac64-6111-4bb2-ae5b-5058cd7a37f3,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5113,1607950820509:81c71ad1-5e27-4bf3-9cf8-9cbf32e4c39b,1607950820509:67c21994-dd0a-4fda-ab84-0145dee0170e,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5114,1607950820509:81c71ad1-5e27-4bf3-9cf8-9cbf32e4c39b,1607950820509:67c21994-dd0a-4fda-ab84-0145dee0170e,2,True,class java.lang.String,TRUE,FALSE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,push,Yes
5116,1607950820509:589a0f33-25f7-4afc-8926-28bae05a7955,1607950820509:433a77a8-6225-420e-a4a7-4bb36f47ef1e,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5117,1607950820509:589a0f33-25f7-4afc-8926-28bae05a7955,1607950820509:433a77a8-6225-420e-a4a7-4bb36f47ef1e,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5118,1607950820509:589a0f33-25f7-4afc-8926-28bae05a7955,1607950820509:433a77a8-6225-420e-a4a7-4bb36f47ef1e,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5120,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:581aa669-d81e-4595-ba0a-19632f5f5992,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5121,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:581aa669-d81e-4595-ba0a-19632f5f5992,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5123,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:12cac2da-13b1-4f36-83db-47f1872a1d49,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5124,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:12cac2da-13b1-4f36-83db-47f1872a1d49,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5125,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:12cac2da-13b1-4f36-83db-47f1872a1d49,0,True,EmptyObject,FALSE,FALSE,TRUE,1,True,class java.lang.String,TRUE,FALSE,FALSE,clear,No
5126,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:12cac2da-13b1-4f36-83db-47f1872a1d49,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5127,1607950820509:4a632d12-0905-4641-8f08-7e73a1f6b540,1607950820509:12cac2da-13b1-4f36-83db-47f1872a1d49,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5129,1607950820508:d6804ba8-cc33-4d81-830c-74494148517a,1607950820508:bcbe858a-2c7f-40f2-8383-44422e133040,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5130,1607950820508:d6804ba8-cc33-4d81-830c-74494148517a,1607950820508:bcbe858a-2c7f-40f2-8383-44422e133040,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5132,1607950820508:d08b46de-2c2e-4fbd-9f26-28a88464db9d,1607950820508:1e2e080f-1868-4d2a-a338-2e26cd856610,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5133,1607950820508:d08b46de-2c2e-4fbd-9f26-28a88464db9d,1607950820508:1e2e080f-1868-4d2a-a338-2e26cd856610,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5135,1607950820508:8c9dbb15-07a2-4229-9da9-834954ef8b5f,1607950820508:5889b076-05f8-49c1-ac0a-3aa01351ab53,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5136,1607950820508:8c9dbb15-07a2-4229-9da9-834954ef8b5f,1607950820508:5889b076-05f8-49c1-ac0a-3aa01351ab53,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5138,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:c0593145-5266-4d18-8ca1-825616065284,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5139,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:c0593145-5266-4d18-8ca1-825616065284,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5140,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:c0593145-5266-4d18-8ca1-825616065284,0,True,EmptyObject,FALSE,FALSE,TRUE,1,True,class java.lang.String,TRUE,FALSE,FALSE,clear,No
5141,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:c0593145-5266-4d18-8ca1-825616065284,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5142,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:c0593145-5266-4d18-8ca1-825616065284,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5144,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:1f7330ea-c638-450b-a67a-44a21a27e938,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5145,1607950820508:6ce0e8ab-1f9d-46d0-bcff-f8c011fe05a9,1607950820508:1f7330ea-c638-450b-a67a-44a21a27e938,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
