,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6019,1604915698170:dd6ce5f8-7a68-4ab4-b965-fed76607526c,1604915698170:f4246d9a-b65c-4bec-a3f3-9cb77f908a4d,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6020,1604915698170:dd6ce5f8-7a68-4ab4-b965-fed76607526c,1604915698170:f4246d9a-b65c-4bec-a3f3-9cb77f908a4d,0,True,EmptyObject,EmptyObject,clear,none,No,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6021,1604915698170:dd6ce5f8-7a68-4ab4-b965-fed76607526c,1604915698170:f4246d9a-b65c-4bec-a3f3-9cb77f908a4d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6022,1604915698170:dd6ce5f8-7a68-4ab4-b965-fed76607526c,1604915698170:f4246d9a-b65c-4bec-a3f3-9cb77f908a4d,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6024,1604915698170:dd6ce5f8-7a68-4ab4-b965-fed76607526c,1604915698170:e0d1b7d3-8bff-4eb4-bbb9-55c5d636c41d,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6025,1604915698170:dd6ce5f8-7a68-4ab4-b965-fed76607526c,1604915698170:e0d1b7d3-8bff-4eb4-bbb9-55c5d636c41d,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6027,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:941f7ac5-2a3e-4452-8f70-995d05972358,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6028,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:941f7ac5-2a3e-4452-8f70-995d05972358,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6030,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:7f7c9b68-f8c8-48ac-9b4b-7c83c21a4be1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6031,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:7f7c9b68-f8c8-48ac-9b4b-7c83c21a4be1,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6032,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:7f7c9b68-f8c8-48ac-9b4b-7c83c21a4be1,0,True,EmptyObject,EmptyObject,clear,none,No,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6033,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:7f7c9b68-f8c8-48ac-9b4b-7c83c21a4be1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6034,1604915698170:cb7d1e1d-5049-44b1-bd26-2aa769118a80,1604915698170:7f7c9b68-f8c8-48ac-9b4b-7c83c21a4be1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6036,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:206eea3b-d189-48b2-9bf9-f63045b0c6f0,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6037,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:206eea3b-d189-48b2-9bf9-f63045b0c6f0,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6039,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:154a6011-7477-4441-bd4d-7e1904bae0cf,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6040,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:154a6011-7477-4441-bd4d-7e1904bae0cf,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6041,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:154a6011-7477-4441-bd4d-7e1904bae0cf,0,True,EmptyObject,EmptyObject,clear,none,No,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6042,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:154a6011-7477-4441-bd4d-7e1904bae0cf,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6043,1604915698170:b1d03ad3-674e-4923-8f75-5d527a229936,1604915698170:154a6011-7477-4441-bd4d-7e1904bae0cf,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6045,1604915698170:ae8bb519-7131-4312-ae5a-3952b6177e7d,1604915698170:e158ad75-c3ba-426d-a548-f5d2f8cee3a5,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6046,1604915698170:ae8bb519-7131-4312-ae5a-3952b6177e7d,1604915698170:e158ad75-c3ba-426d-a548-f5d2f8cee3a5,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
