,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
320,1607893123260:170cd1ef-3da2-4a05-a259-b2bf9622df18,1607893123260:92760987-91b7-436c-a259-4570d77f7f4a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
322,1607893123259:f8988893-4709-4acf-ac98-0d4651d205f3,1607893123259:93081ce1-69f5-40d0-b6bc-bf8068368075,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
334,1607893123258:f6c3070d-35ff-417b-b6eb-11a1f2a08ccf,1607893123258:795d9831-8bb2-4aa5-8bc0-68a11b38f975,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
336,1607893123258:e3dba077-042f-44fd-b904-72ec4a82a679,1607893123258:491fa185-c287-4a73-8994-db99ac69303f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
341,1607893123258:5d2781db-d073-4a6e-983e-94e77210c86d,1607893123258:e402c109-0204-4e5d-a110-17f5a2e79f9b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
343,1607893123258:5490ea32-5b7c-4c6d-8933-837fd4d898c4,1607893123258:30cb00ad-6706-4e81-8aee-934f7d03c763,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
345,1607893123258:51a8bd6f-3857-45ec-b54a-c6e3b110a527,1607893123258:e6940ca9-fa04-41e0-a859-29aa0f409c20,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
348,1607893123258:03e28c66-182f-404f-8bff-2051b606ab66,1607893123258:177ac2f0-60e0-4985-a45d-ff04127110ef,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
353,1607893123257:db136e5b-1055-426d-a94c-2b30a610b0e0,1607893123257:138bd168-bb7e-48df-b546-d51dc38d1f3b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
361,1607893123257:015806f4-fd34-4478-8299-cec6412ca40e,1607893123257:e5850ea4-de8d-457c-9cb1-8c104acf1297,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
364,1607893123256:cee94f78-0838-4093-bae5-31546d68e215,1607893123256:e48212ef-5dc0-4695-b38a-d5cecceb1356,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
367,1607893123256:7ab567ad-6fc7-49d1-badf-008d86802963,1607893123256:6a92e414-6325-4d79-8490-b7c2910f60cc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
370,1607893123256:5120c0ae-03da-412a-90d9-9a72f4a650eb,1607893123256:4e3cae22-7176-4582-bb7b-ce189c290eec,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
373,1607893123256:22e47087-4dfd-4d76-9518-cde9016c157f,1607893123256:29dbace8-8fe2-4151-acc9-4a9fa849911d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
377,1607893123255:c0bca5b0-519a-4ad0-8e5a-dc6af94a7925,1607893123255:3b150c78-977f-4166-902e-de92f9c931e3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
389,1607893123254:40d7382d-e825-4e77-8c9e-aca0bdd33812,1607893123254:97d2e4c3-2e8f-40b1-a120-5e4c7113231e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
392,1607893123253:d930b6ca-79b9-492f-9765-caa5ba7d276f,1607893123253:321043b2-1689-4d8e-a43c-7c4eb01c471a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
394,1607893123253:d83a169c-8743-41dd-a1dd-d05b228b16ec,1607893123253:2675f14d-bd90-4041-890d-9c9ecdec4d93,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
398,1607893123253:7dae2121-6881-4dc2-9de5-a8d4c3193e68,1607893123253:b8a6154b-4aab-4dc2-b31a-db7c8efd0f71,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
402,1607893123252:739b1e86-8937-466d-a92a-9caed4d78b1f,1607893123252:cbc61a8d-389f-4196-914c-c1586ee31dc9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
405,1607893123252:083355a9-744c-4b5e-8fd6-9c3442dc19f7,1607893123252:8dee6d0c-b6db-4005-83ec-9ca5ec0766dc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
409,1607893123251:b40a254f-4bb0-4c29-b3ac-e6b33bb0ca37,1607893123251:1bba43a9-c903-4b4b-8f1c-24c0597247c1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
