,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
4129,1607884514053:7b2bb294-1971-4c6f-adf2-9b3ecbc50e13,1607884514053:7e436bb7-f5e1-4c08-8f13-8411693d86ba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4131,1607884514053:735fae91-a0ba-410d-9f6a-31ac45a88f43,1607884514054:a7171b9b-ca14-40fe-8f7e-63c4c9c87929,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4134,1607884514053:72128fdd-ea3b-4866-a066-f9bd3c485ce8,1607884514053:ab05e64d-b70c-47e2-ac43-f88c16a66ab6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4135,1607884514053:72128fdd-ea3b-4866-a066-f9bd3c485ce8,1607884514053:ab05e64d-b70c-47e2-ac43-f88c16a66ab6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4136,1607884514053:72128fdd-ea3b-4866-a066-f9bd3c485ce8,1607884514053:ab05e64d-b70c-47e2-ac43-f88c16a66ab6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4139,1607884514053:72128fdd-ea3b-4866-a066-f9bd3c485ce8,1607884514053:0f0b0f46-f01b-41df-a93a-4849a46f1ae7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
4142,1607884514053:0ba30d9b-10cf-4b48-862f-a51f932db657,1607884514053:ba46c3e9-860c-4de9-bf50-59d648dd705b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4146,1607884514053:0ba30d9b-10cf-4b48-862f-a51f932db657,1607884514053:2fe14275-1938-47db-bed3-add8e7a6c34b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
4151,1607884514052:ed646e74-43a5-472b-977b-fed971fa304d,1607884514052:e9a72b07-2034-49b8-89c5-7610cb477af2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4154,1607884514052:e2a0a459-1ae2-4195-b6f7-7dc6ebd29d40,1607884514052:d0d74a15-298c-4b56-87bd-4ef6c04d99dc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
