,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
5489,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607946326259:64a8318e-de8f-422a-866c-075b335279ae,1607946326259:6b695743-1cd6-41ee-8ce6-99818db753f2
9437,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326219:1055af49-36c3-414b-a733-3a2acd08844f,1607946326219:e8480e30-c169-4eb2-b24f-6972a7ef0664
13842,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326164:63404215-4c51-4182-8fed-a0d97b912a62,1607946326164:1b8c0335-646c-46cf-ab71-f16fb64b045a
15725,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""5""",Yes,1607946326141:3fba835c-8483-4080-aea2-8f752b4e521b,1607946326141:66deb490-3e9e-44c4-b50d-271116215e11
15726,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""6""",Yes,1607946326141:3fba835c-8483-4080-aea2-8f752b4e521b,1607946326141:66deb490-3e9e-44c4-b50d-271116215e11
18119,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326113:01305e74-5071-4829-997f-d7d92a04b26a,1607946326113:08042822-f90a-4641-a099-3d6683de87b3
18705,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326105:f8a393a0-e8c4-4b07-a5e7-4058dfa3e65b,1607946326105:4f8cf95b-353c-444a-ae04-e6dae2985ed3
22087,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326049:47cd4865-74cf-4804-b542-a13319507c75,1607946326049:25081e6f-d31c-4b67-ab30-acf019b3ba95
24351,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326013:d484df14-c78d-4168-a193-21949f96fdd1,1607946326013:7b4f1093-66e4-4e05-a65c-36369e1a134c
31036,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946325920:a5f7b53a-9934-4c1e-bb15-8afa4efde7b2,1607946325920:a1a41687-cb3b-462b-8a42-2b2020076a92
31230,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""7""",Yes,1607946325918:8f9d8710-2cf6-4923-8bc2-61b013a019ae,1607946325918:f9fbc5dc-051f-487e-a9f2-0bc18bf1c5d3
33499,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""5""",Yes,1607946325884:457adf74-4b0b-4c58-8525-5c61c209e2bf,1607946325884:e8c6e99a-009f-4ce9-89ca-2ccdaf5b8b25
36184,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607946325830:f3d6bfd5-45ea-4af4-8123-8ca3cc126799,1607946325830:fc82ab94-c688-49ff-8622-af8c2c7fd7b7
38538,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""6""",Yes,1607946325795:a078c926-d96c-4a03-886a-2c24cc95915d,1607946325795:c08a737c-cb18-4f41-8b96-879766281901
46499,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946325690:37f98049-77bb-4917-8211-6b3b8df49187,1607946325690:3524a4ff-571d-4e6e-9912-49bf8227f218
60227,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""6""",Yes,1607946325356:6194219e-38de-4614-9157-305001e73f51,1607946325356:4ae36297-6733-4b80-ac91-91d352b89881
