,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
648,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""",Yes,1607893902378:2545e26e-600a-4a3e-82d8-99169b4dd094,1607893902378:3ca9ac1d-c9ea-4571-bdda-f7acf2b7f63c
650,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607893902378:2545e26e-600a-4a3e-82d8-99169b4dd094,1607893902378:3ca9ac1d-c9ea-4571-bdda-f7acf2b7f63c
808,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607893902375:543eeaa2-3de5-49d9-98ba-86555c0efbdb,1607893902375:c24404f7-7fc5-4e14-8a34-4108d4f12cd6
898,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902374:21fb2850-654a-4562-bb2d-c607494107db,1607893902374:50edafc6-c154-4024-bfb2-e10409b6b2a8
912,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607893902374:21fb2850-654a-4562-bb2d-c607494107db,1607893902374:328b28cb-c61c-4e87-a0f1-581c73b64a46
1226,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902371:982f168f-2eab-4545-a934-48dab20c77d9,1607893902371:b85e3794-640b-4b86-a823-b21c36011337
1228,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607893902371:982f168f-2eab-4545-a934-48dab20c77d9,1607893902371:b85e3794-640b-4b86-a823-b21c36011337
1301,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607893902370:937a4f74-6098-4d28-b84a-afea5c8f48fa,1607893902370:0d07e43a-6789-428d-9f3a-4940c0520c1d
1303,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""6""",Yes,1607893902370:937a4f74-6098-4d28-b84a-afea5c8f48fa,1607893902370:0d07e43a-6789-428d-9f3a-4940c0520c1d
1304,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""7""",Yes,1607893902370:937a4f74-6098-4d28-b84a-afea5c8f48fa,1607893902370:0d07e43a-6789-428d-9f3a-4940c0520c1d
