,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
2321,1607884350652:31a79b44-05dc-40de-9cb6-8d73b7ffbbaf,1607884350652:5016824d-fa5f-4403-be68-11abf8591008,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2323,1607884350651:cf6ea706-cb2c-4526-a24d-0179ed5dda1d,1607884350651:8cf3f80b-262f-47ca-8f3f-609bbddf94b2,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2324,1607884350651:cf6ea706-cb2c-4526-a24d-0179ed5dda1d,1607884350651:8cf3f80b-262f-47ca-8f3f-609bbddf94b2,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2326,1607884350651:cf6ea706-cb2c-4526-a24d-0179ed5dda1d,1607884350651:6deaa687-3231-45c7-95b6-4cb3c9679e9e,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2327,1607884350651:cf6ea706-cb2c-4526-a24d-0179ed5dda1d,1607884350651:6deaa687-3231-45c7-95b6-4cb3c9679e9e,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2329,1607884350651:aa67cf7b-5659-49d9-9a95-2e548bd435f9,1607884350651:623b82a8-36bd-4642-8d46-4d5beb49c1cd,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2330,1607884350651:aa67cf7b-5659-49d9-9a95-2e548bd435f9,1607884350651:623b82a8-36bd-4642-8d46-4d5beb49c1cd,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2332,1607884350651:93bd2ebf-f1b8-4cce-a30c-e14d7e2245ef,1607884350651:fb20e63e-c178-4be5-9c81-2f2900e968c9,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2333,1607884350651:93bd2ebf-f1b8-4cce-a30c-e14d7e2245ef,1607884350651:fb20e63e-c178-4be5-9c81-2f2900e968c9,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2335,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:d67a659e-dddc-4794-9fd6-260405d3428c,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2336,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:d67a659e-dddc-4794-9fd6-260405d3428c,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2338,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:03783c08-974b-4257-8620-58bccbca7a3d,0,True,EmptyObject,none,none,clear,clear,0,No
2339,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:03783c08-974b-4257-8620-58bccbca7a3d,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2340,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:03783c08-974b-4257-8620-58bccbca7a3d,0,True,EmptyObject,none,none,clear,clear,0,No
2341,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:03783c08-974b-4257-8620-58bccbca7a3d,0,True,EmptyObject,none,none,clear,clear,0,No
2342,1607884350651:796842f6-e7e2-4664-a0b6-e7ada99e7533,1607884350651:03783c08-974b-4257-8620-58bccbca7a3d,0,True,EmptyObject,none,none,clear,clear,0,No
2344,1607884350651:3239ca5c-2b5c-4244-8f07-d333b21d729c,1607884350652:c27a2729-d4de-46f0-81d1-72c7f0f15d2b,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2345,1607884350651:3239ca5c-2b5c-4244-8f07-d333b21d729c,1607884350652:c27a2729-d4de-46f0-81d1-72c7f0f15d2b,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
