,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1776,1607937229762:9d291694-55f6-46cb-9a1c-b563817a2bfc,1607937229762:71d4d0d6-8c0b-4166-acee-86dced85c726,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1781,1607937229762:0315f1a2-d875-4e56-94a7-63f5a10f3157,1607937229762:fb407bf3-1932-459c-ab84-3cdfed8a9de7,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1785,1607937229761:942d8ee2-f426-448b-9bbb-22726e69d2ce,1607937229761:ecfc8976-393b-4793-8f81-d35196d05d45,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1790,1607937229760:cea3d13b-ea18-48d4-bfae-5723e092a384,1607937229760:76e36a06-98d9-475e-86d3-9f1a0207d50b,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1793,1607937229760:7cf8d506-062c-4534-bd07-338f9d7775e8,1607937229760:58dd3e56-1959-4f8f-b2c9-a6f8e3b58711,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1797,1607937229759:ce63e517-6143-4193-91ab-1b085dfafe12,1607937229759:05adb11d-5415-4487-976b-eb470d34595c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1801,1607937229759:afca893c-5c8c-4787-924a-49c22f56fd47,1607937229759:99cb17ad-c12b-4210-a8e2-2a1d349535d9,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1809,1607937229758:50803573-035a-4a36-a06c-f6485e963224,1607937229758:c3f061e3-f2ac-4abd-ad92-67f695096a55,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1814,1607937229756:f4e571f6-8916-4390-92fc-57fd95380ab0,1607937229756:136fead4-fe92-498e-b775-a8a7d31f403b,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1821,1607937229756:20ac0cb4-a008-415e-96c1-b23d3516a0f0,1607937229756:37930dd7-bfea-47cd-b789-fbd3bf43f5f7,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
