,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4633,1604916242478:cc8a0b24-aee1-4c26-a5d8-abd2372ef129,1604916242478:4d23d04a-08f1-43b4-9823-57ec5d81c90b,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4635,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:a22471f5-9179-4a32-937e-1cbe2c9e42c2,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4636,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:a22471f5-9179-4a32-937e-1cbe2c9e42c2,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4638,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:613080d0-a1e9-42a3-862e-784d4bb3c6c7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4639,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:613080d0-a1e9-42a3-862e-784d4bb3c6c7,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4640,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:613080d0-a1e9-42a3-862e-784d4bb3c6c7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4641,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:613080d0-a1e9-42a3-862e-784d4bb3c6c7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4642,1604916242478:788ea216-29c6-4753-b657-c24ecca4382c,1604916242478:613080d0-a1e9-42a3-862e-784d4bb3c6c7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4644,1604916242478:58df469d-5077-49f0-8408-fa28b79e28db,1604916242478:7408c46f-8152-4335-acfb-b0902daecfc1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4645,1604916242478:58df469d-5077-49f0-8408-fa28b79e28db,1604916242478:7408c46f-8152-4335-acfb-b0902daecfc1,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4646,1604916242478:58df469d-5077-49f0-8408-fa28b79e28db,1604916242478:7408c46f-8152-4335-acfb-b0902daecfc1,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4648,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:4c9532a1-c9db-45dc-95d8-990d4104c5b9,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4649,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:4c9532a1-c9db-45dc-95d8-990d4104c5b9,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4651,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:2adf9790-92e1-4caa-9247-2e3ef8a3e3f1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4652,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:2adf9790-92e1-4caa-9247-2e3ef8a3e3f1,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4653,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:2adf9790-92e1-4caa-9247-2e3ef8a3e3f1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4654,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:2adf9790-92e1-4caa-9247-2e3ef8a3e3f1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4655,1604916242477:f0f193e0-5ad9-4932-b725-4bc5fb3bfe5c,1604916242477:2adf9790-92e1-4caa-9247-2e3ef8a3e3f1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4657,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:b526f992-a978-455c-afc3-468e67d9aa66,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4658,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:b526f992-a978-455c-afc3-468e67d9aa66,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4660,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:160aa591-23de-47d8-bdd5-fc5258328ef4,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4661,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:160aa591-23de-47d8-bdd5-fc5258328ef4,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4662,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:160aa591-23de-47d8-bdd5-fc5258328ef4,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4663,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:160aa591-23de-47d8-bdd5-fc5258328ef4,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4664,1604916242477:289e56b4-d9aa-46b5-8b8a-ada9e8aba73d,1604916242477:160aa591-23de-47d8-bdd5-fc5258328ef4,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4666,1604916242476:440d4016-fb1e-4b8d-a070-0c3c38067b3f,1604916242476:75b94d1d-403a-444c-9401-58eb3c111308,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4667,1604916242476:440d4016-fb1e-4b8d-a070-0c3c38067b3f,1604916242476:75b94d1d-403a-444c-9401-58eb3c111308,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4669,1604916242476:440d4016-fb1e-4b8d-a070-0c3c38067b3f,1604916242476:021b7419-c5ae-4c4a-8fcf-6faf5cc39710,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4670,1604916242476:440d4016-fb1e-4b8d-a070-0c3c38067b3f,1604916242476:021b7419-c5ae-4c4a-8fcf-6faf5cc39710,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4672,1604916242476:3f2b3fbe-1275-41e1-a472-8ed7eac2ac77,1604916242476:fe769eed-4e6f-4393-b3d7-fd5ee1ac6183,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4673,1604916242476:3f2b3fbe-1275-41e1-a472-8ed7eac2ac77,1604916242476:fe769eed-4e6f-4393-b3d7-fd5ee1ac6183,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4675,1604916242476:3f2b3fbe-1275-41e1-a472-8ed7eac2ac77,1604916242476:062dafdf-4711-427b-b871-e89fab972929,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4677,1604916242475:d7989aca-98eb-4239-81ac-64b56fd1f5be,1604916242475:d462e6da-6a34-4501-8558-e366d27103fb,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4678,1604916242475:d7989aca-98eb-4239-81ac-64b56fd1f5be,1604916242475:d462e6da-6a34-4501-8558-e366d27103fb,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4680,1604916242475:d7989aca-98eb-4239-81ac-64b56fd1f5be,1604916242475:3d1f7b60-5ea8-4ee4-a157-227fea0e5bc7,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4682,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:5903dfb5-f926-4e11-bff0-6c636a773128,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4683,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:5903dfb5-f926-4e11-bff0-6c636a773128,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4684,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:5903dfb5-f926-4e11-bff0-6c636a773128,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4685,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:5903dfb5-f926-4e11-bff0-6c636a773128,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4686,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:5903dfb5-f926-4e11-bff0-6c636a773128,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4688,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:217ff9ac-ae83-469a-8e75-3767427ecf23,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4689,1604916242475:c5d1f23f-f9ff-4763-a156-fae953a98a32,1604916242475:217ff9ac-ae83-469a-8e75-3767427ecf23,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4691,1604916242474:7b905e7c-765f-474c-acd3-48a5941ffb57,1604916242474:47b8bfa8-63b9-456c-b9b7-3000ad1090ef,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4692,1604916242474:7b905e7c-765f-474c-acd3-48a5941ffb57,1604916242474:47b8bfa8-63b9-456c-b9b7-3000ad1090ef,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4694,1604916242474:647294a2-845b-4a60-81b4-13f2835635c4,1604916242474:3b1629f2-167a-45b8-9450-3f1dda4a896a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4695,1604916242474:647294a2-845b-4a60-81b4-13f2835635c4,1604916242474:3b1629f2-167a-45b8-9450-3f1dda4a896a,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4696,1604916242474:647294a2-845b-4a60-81b4-13f2835635c4,1604916242474:3b1629f2-167a-45b8-9450-3f1dda4a896a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4697,1604916242474:647294a2-845b-4a60-81b4-13f2835635c4,1604916242474:3b1629f2-167a-45b8-9450-3f1dda4a896a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4698,1604916242474:647294a2-845b-4a60-81b4-13f2835635c4,1604916242474:3b1629f2-167a-45b8-9450-3f1dda4a896a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
