,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
540,1607938096694:b8c4c2b4-14d7-4396-9efb-30886c8eb097,1607938096695:0ad65d16-08ec-4b17-93c6-8b76786d8a1d,0,True,EmptyObject,none,none,clear,No
549,1607938096694:4030d267-3d7c-4a72-89e8-24188926413c,1607938096694:2c8a0d62-34d7-4220-b90b-97ebd0ce39cb,0,True,EmptyObject,none,none,clear,No
554,1607938096693:9912c619-152f-4019-944f-6175d59bdcc1,1607938096693:0b08e667-7e7e-4650-986e-27112661bf5d,0,True,EmptyObject,none,none,clear,No
565,1607938096692:d2730f75-7e93-472d-ac5a-e4a670d3d6e1,1607938096692:e5ce8d0f-b29e-4c88-b4d9-8a2494862e4e,0,True,EmptyObject,none,none,clear,No
571,1607938096692:4f0de381-5f45-402f-8ad8-9d819c872243,1607938096692:aa499737-b833-46e3-914a-9d64d0760599,0,True,EmptyObject,none,none,clear,No
580,1607938096691:b49c8de4-c041-4f16-91da-353c521813bb,1607938096691:2a104891-d242-4851-a10b-52a27fcb2e27,0,True,EmptyObject,none,none,clear,No
587,1607938096691:20a6811b-ffb5-4716-ac6d-f0946459d5fb,1607938096691:d4498dd9-7580-4cfe-8c37-c20264e94dab,0,True,EmptyObject,none,none,clear,No
593,1607938096690:ab2c16db-1963-4731-835b-9ade871d3a44,1607938096690:d80ebdf9-f754-40ab-b9a7-ba8114894acc,0,True,EmptyObject,none,none,clear,No
595,1607938096690:8b2dcec7-3d22-40ad-bea2-83540f41e7f9,1607938096690:685eb85b-385a-4b58-8db2-9d2156f261f8,0,True,EmptyObject,none,none,clear,No
597,1607938096690:8acb9cf2-a0c1-4df3-ae1f-1b1dcb8e7e9b,1607938096690:f4478dcd-b9c9-4cf5-a5ab-abe8f7faa223,0,True,EmptyObject,none,none,clear,No
612,1607938096689:2ef9bb4c-3d1f-446d-b7fc-951d25a1e902,1607938096689:2c109747-5087-430b-8cbf-43a8a0abfc14,0,True,EmptyObject,none,none,clear,No
619,1607938096688:ce462ee4-17b6-4fee-ad01-cea4b01ae010,1607938096688:852f93af-0381-4e99-a770-38419fca27f8,0,True,EmptyObject,none,none,clear,No
632,1607938096687:5b8d5a30-44ec-4f1c-adc1-367af7f64983,1607938096687:cf96f4fe-9612-441d-a43d-dbf52e7c95ba,0,True,EmptyObject,none,none,clear,No
644,1607938096686:a259c2fc-83bc-4da5-9b5d-dce246905cee,1607938096686:5ba52991-50cd-48fb-b6ef-adc1655a3df0,0,True,EmptyObject,none,none,clear,No
654,1607938096685:543f904b-d2ef-410a-8fd9-2b4d7c3d6508,1607938096685:afedf73f-0288-41a7-bc02-e7e1570aeab4,0,True,EmptyObject,none,none,clear,No
656,1607938096685:2fbd53e4-61b9-4966-9c61-d31a2f5262cd,1607938096685:87434ba1-e994-423a-9ce7-54d8ad0ba8ec,0,True,EmptyObject,none,none,clear,No
658,1607938096685:2db23642-7dab-481f-80fc-61452a96014c,1607938096685:aed2c5fc-d994-44ed-8b5c-498fc0eccb5e,0,True,EmptyObject,none,none,clear,No
660,1607938096685:28074506-16b0-4f46-a997-b02a665f427b,1607938096685:53a8b85f-c6a0-4f3d-ab43-58f9273684a9,0,True,EmptyObject,none,none,clear,No
662,1607938096685:1448d82c-c462-4c16-83c6-1b6d4db6f923,1607938096685:74101fc2-03c6-4ac0-bdd9-e05c4e31f8af,0,True,EmptyObject,none,none,clear,No
665,1607938096684:ed148a40-8ad1-45e6-acce-0eac71d6be74,1607938096684:785de5de-92e2-46bd-a9af-a8ba96b7591b,0,True,EmptyObject,none,none,clear,No
667,1607938096684:eaf76c87-43b7-425e-925d-9be692ba9db1,1607938096684:e8049132-f1ba-4d67-a087-923453afc481,0,True,EmptyObject,none,none,clear,No
670,1607938096684:75dee097-416e-408b-9dc6-ad0bf2f5ff18,1607938096684:34c404a3-153b-41fb-b0fb-e8ab7a70352b,0,True,EmptyObject,none,none,clear,No
674,1607938096684:2d13b9c5-93d7-4082-b886-faf5ea0b0d76,1607938096684:3b836a0a-f4e9-4cd6-98fa-c5a9885725da,0,True,EmptyObject,none,none,clear,No
681,1607938096683:e55f0be2-de7e-4fd0-8ac6-4c2d76ffb498,1607938096683:5439856f-8a74-4338-ac00-afd9b8509c3e,0,True,EmptyObject,none,none,clear,No
683,1607938096683:babef6ac-df6d-48bd-b63a-9e0c6b1ff720,1607938096683:aa918383-25be-4ec4-9f94-db9e28ea939d,0,True,EmptyObject,none,none,clear,No
